Tweet Id;Text;Name;UTC;Created At;Favorites;Retweets;Language;Client;Tweet Type;URLs;Hashtags;Mentions;Media Type
2997;"Feliz de compartir este gran encuentro con las bellas damas coloradas de Hernandarias. Todas estas muestras de cariño y apoyo me impulsan a seguir trabajando con más fuerza, al lado de cada una de ustedes por el Alto Paraná que merecemos. 

#VamosAEstarMejor https://t.co/RLL8ennJtW";Santiago Peña;2022-05-11T22:54:08.000Z;Wed May 11 22:54:08 +0000 2022;101;13;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;1;0;photo
315;Feliz de compartir este hermoso encuentro en Areguá. ¡Gracias por tanto cariño! ???????????? https://t.co/IqB4fYhIEh;Santiago Peña;2023-03-10T02:54:58.000Z;Fri Mar 10 02:54:58 +0000 2023;268;33;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo
3044;Feliz de saber que estamos en un país donde todos nos comprometemos unos con otros. ¡Llegamos a otra gran meta! https://t.co/ef42Twy5S1;Santiago Peña;2017-11-15T02:12:26.000Z;Wed Nov 15 02:12:26 +0000 2017;277;78;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;0;photo
1971;Feliz día a la mujer paraguaya, que así como lo hizo a lo largo de nuestra historia, hoy es nuevamente protagonista en la construcción de un pais mejor. #DiaDeLaMujerParaguaya;Santiago Peña;2022-02-24T15:07:17.000Z;Thu Feb 24 15:07:17 +0000 2022;637;57;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;1;0;None
1552;Feliz día a las gloriosas mujeres paraguayas. En especial a las dos mujeres que me inspiran y alientan a seguir soñando con un Paraguay mejor! ???? https://t.co/8OVnDWgvpv;Santiago Peña;2019-02-24T15:08:15.000Z;Sun Feb 24 15:08:15 +0000 2019;1118;50;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo
2999;Feliz día a todas las madres en su día! en especial a la mia, Gracias mamá! https://t.co/Ko3WFD1TzX;Santiago Peña;2019-05-15T17:29:29.000Z;Wed May 15 17:29:29 +0000 2019;731;21;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo
2063;Feliz día a todas las mujeres del mundo en este día  y en especial a la gloriosa mujer paraguaya. Que nuestro reconocimiento pase de las palabras a la acción. https://t.co/YljJ3YnnI0;Santiago Peña;2018-03-08T14:08:04.000Z;Thu Mar 08 14:08:04 +0000 2018;736;103;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;video
708;Feliz día de la Mujer Paraguaya! https://t.co/O8cl33vlvc;Santiago Peña;2020-02-24T21:42:53.000Z;Mon Feb 24 21:42:53 +0000 2020;197;17;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo
1598;Feliz día de padre para todos los que con su esfuerzo, afecto y dedicación forjan el futuro de sus hijos!! Es especial a quien a sus 73 años es mi fuente de inspiración, mi maestro y quien sin darse cuenta me hace una mejor persona. Feliz día papá https://t.co/PTquSBfCDs;Santiago Peña;2018-06-17T19:46:27.000Z;Sun Jun 17 19:46:27 +0000 2018;901;42;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo
2339;Feliz día del idioma guaraní! Comparto un lindo recuerdo del 2017. https://t.co/7Gs9JjigGj;Santiago Peña;2020-08-25T20:39:07.000Z;Tue Aug 25 20:39:07 +0000 2020;602;56;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;video
